cluster_spec,policy,seed,total_jobs,utilization,average_completion_time,total_completion_time
v100=5.p100=10.k80=5,allox,8,625,0.858,326939.333 seconds (90.82 hours),2426956.347 seconds (674.15 hours)
v100=5.p100=10.k80=5,max_min_fairness,5,1000,0.937,1047604.399 seconds (291.00 hours),4033556.118 seconds (1120.43 hours)
v100=5.p100=10.k80=5,max_min_fairness,5,500,0.822,493471.028 seconds (137.08 hours),2074555.283 seconds (576.27 hours)
v100=5.p100=10.k80=5,max_min_fairness,5,875,0.923,906312.329 seconds (251.75 hours),3519029.343 seconds (977.51 hours)
v100=5.p100=10.k80=5,max_min_fairness,5,750,0.910,785054.476 seconds (218.07 hours),3118024.052 seconds (866.12 hours)
v100=5.p100=10.k80=5,max_min_fairness,5,625,0.889,666786.878 seconds (185.22 hours),2696850.941 seconds (749.13 hours)
v100=5.p100=10.k80=5,max_min_fairness,9,1000,0.947,1007193.274 seconds (279.78 hours),3862425.021 seconds (1072.90 hours)
v100=5.p100=10.k80=5,max_min_fairness,9,500,0.909,549853.383 seconds (152.74 hours),2115244.474 seconds (587.57 hours)
v100=5.p100=10.k80=5,max_min_fairness,9,875,0.928,845735.279 seconds (234.93 hours),3298121.671 seconds (916.14 hours)
v100=5.p100=10.k80=5,max_min_fairness,9,750,0.935,749115.930 seconds (208.09 hours),2853135.340 seconds (792.54 hours)
v100=5.p100=10.k80=5,max_min_fairness,9,625,0.918,648997.331 seconds (180.28 hours),2483966.098 seconds (689.99 hours)
v100=5.p100=10.k80=5,max_min_fairness,8,1000,0.957,1123504.316 seconds (312.08 hours),4417734.647 seconds (1227.15 hours)
v100=5.p100=10.k80=5,max_min_fairness,8,500,0.851,542237.323 seconds (150.62 hours),2322073.775 seconds (645.02 hours)
v100=5.p100=10.k80=5,max_min_fairness,8,875,0.950,955885.939 seconds (265.52 hours),3849681.432 seconds (1069.36 hours)
v100=5.p100=10.k80=5,max_min_fairness,8,750,0.940,825203.833 seconds (229.22 hours),3335459.587 seconds (926.52 hours)
v100=5.p100=10.k80=5,max_min_fairness,8,625,0.906,679783.822 seconds (188.83 hours),2783208.922 seconds (773.11 hours)
v100=5.p100=10.k80=5,fifo,5,1000,0.651,1750333.295 seconds (486.20 hours),6033202.182 seconds (1675.89 hours)
v100=5.p100=10.k80=5,fifo,5,500,0.514,740676.893 seconds (205.74 hours),3631855.854 seconds (1008.85 hours)
v100=5.p100=10.k80=5,fifo,5,875,0.911,1497668.278 seconds (416.02 hours),3632301.164 seconds (1008.97 hours)
v100=5.p100=10.k80=5,fifo,5,750,0.801,1242542.218 seconds (345.15 hours),3631913.348 seconds (1008.86 hours)
v100=5.p100=10.k80=5,fifo,5,625,0.695,984597.740 seconds (273.50 hours),3631913.348 seconds (1008.86 hours)
v100=5.p100=10.k80=5,fifo,9,1000,0.480,1856496.456 seconds (515.69 hours),8718801.929 seconds (2421.89 hours)
v100=5.p100=10.k80=5,fifo,9,500,0.655,1002401.733 seconds (278.44 hours),3093123.629 seconds (859.20 hours)
v100=5.p100=10.k80=5,fifo,9,875,0.391,1638151.538 seconds (455.04 hours),8709186.777 seconds (2419.22 hours)
v100=5.p100=10.k80=5,fifo,9,750,0.350,1432430.099 seconds (397.90 hours),8708868.202 seconds (2419.13 hours)
v100=5.p100=10.k80=5,fifo,9,625,0.305,1225408.069 seconds (340.39 hours),8707585.514 seconds (2418.77 hours)
v100=5.p100=10.k80=5,fifo,8,1000,0.766,2056781.277 seconds (571.33 hours),5932927.769 seconds (1648.04 hours)
v100=5.p100=10.k80=5,fifo,8,500,0.528,960556.644 seconds (266.82 hours),4148912.749 seconds (1152.48 hours)
v100=5.p100=10.k80=5,fifo,8,875,0.670,1771662.716 seconds (492.13 hours),5931244.647 seconds (1647.57 hours)
v100=5.p100=10.k80=5,fifo,8,750,0.593,1493767.629 seconds (414.94 hours),5931153.857 seconds (1647.54 hours)
v100=5.p100=10.k80=5,fifo,8,625,0.649,1224078.221 seconds (340.02 hours),4148936.694 seconds (1152.48 hours)
v100=5.p100=10.k80=5,finish_time_fairness,5,1000,0.942,990987.224 seconds (275.27 hours),4072531.074 seconds (1131.26 hours)
v100=5.p100=10.k80=5,finish_time_fairness,5,500,0.827,467497.973 seconds (129.86 hours),2082423.409 seconds (578.45 hours)
v100=5.p100=10.k80=5,finish_time_fairness,5,875,0.931,858096.836 seconds (238.36 hours),3533381.679 seconds (981.49 hours)
v100=5.p100=10.k80=5,finish_time_fairness,5,750,0.922,740692.094 seconds (205.75 hours),3115364.156 seconds (865.38 hours)
v100=5.p100=10.k80=5,finish_time_fairness,5,625,0.896,633449.866 seconds (175.96 hours),2707757.788 seconds (752.15 hours)
v100=5.p100=10.k80=5,finish_time_fairness,9,1000,0.905,955854.574 seconds (265.52 hours),4088555.152 seconds (1135.71 hours)
v100=5.p100=10.k80=5,finish_time_fairness,9,500,0.874,516620.028 seconds (143.51 hours),2223212.413 seconds (617.56 hours)
v100=5.p100=10.k80=5,finish_time_fairness,9,875,0.882,799448.847 seconds (222.07 hours),3506098.869 seconds (973.92 hours)
