cluster_spec,policy_name,seed,lambda,utilization,average_completion_time,total_completion_time,window_duration
v100=5.p100=5.k80=10,finish_time_fairness,9,7200,0.587,82615.384 seconds (22.95 hours), 4588182.850 seconds (1274.50 hours), 3541524.784570
v100=5.p100=5.k80=10,finish_time_fairness,8,3600,0.979,305156.161 seconds (84.77 hours), 5929534.007 seconds (1647.09 hours), 1879475.630340
v100=5.p100=5.k80=10,finish_time_fairness,8,4800,0.897,146491.824 seconds (40.69 hours), 3523583.897 seconds (978.77 hours), 2505967.507121
v100=5.p100=5.k80=10,finish_time_fairness,8,14400,0.315,103290.817 seconds (28.69 hours), 7938053.716 seconds (2205.01 hours), 7517902.521362
v100=5.p100=5.k80=10,finish_time_fairness,8,7200,0.658,111183.984 seconds (30.88 hours), 4422099.882 seconds (1228.36 hours), 3758951.260681
v100=5.p100=10.k80=5,gandiva,5,3600,0.824,137196.772 seconds (38.11 hours), 3464302.519 seconds (962.31 hours), 1912602.417248
v100=5.p100=10.k80=5,gandiva,5,4800,0.606,85192.548 seconds (23.66 hours), 3087357.892 seconds (857.60 hours), 2550136.556331
v100=5.p100=10.k80=5,gandiva,5,14400,0.200,63633.086 seconds (17.68 hours), 7222697.196 seconds (2006.30 hours), 7650409.668993
v100=5.p100=10.k80=5,gandiva,5,7200,0.412,67717.968 seconds (18.81 hours), 3905176.013 seconds (1084.77 hours), 3825204.834496
v100=5.p100=10.k80=5,gandiva,9,3600,0.746,74371.283 seconds (20.66 hours), 2593823.332 seconds (720.51 hours), 1770762.392285
v100=5.p100=10.k80=5,gandiva,9,4800,0.602,60311.557 seconds (16.75 hours), 3074531.398 seconds (854.04 hours), 2361016.523046
v100=5.p100=10.k80=5,gandiva,9,14400,0.200,56238.880 seconds (15.62 hours), 7694031.365 seconds (2137.23 hours), 7083049.569139
v100=5.p100=10.k80=5,gandiva,9,7200,0.401,56410.415 seconds (15.67 hours), 4107595.678 seconds (1141.00 hours), 3541524.784570
v100=5.p100=10.k80=5,gandiva,8,3600,0.850,180368.292 seconds (50.10 hours), 3811443.313 seconds (1058.73 hours), 1879475.630340
v100=5.p100=10.k80=5,gandiva,8,4800,0.656,98414.288 seconds (27.34 hours), 3075029.039 seconds (854.17 hours), 2505967.507121
v100=5.p100=10.k80=5,gandiva,8,14400,0.220,67718.533 seconds (18.81 hours), 7699564.068 seconds (2138.77 hours), 7517902.521362
v100=5.p100=10.k80=5,gandiva,8,7200,0.447,71818.450 seconds (19.95 hours), 4131192.155 seconds (1147.55 hours), 3758951.260681
v100=5.p100=10.k80=5,allox,5,3600,0.882,114473.858 seconds (31.80 hours), 3340455.911 seconds (927.90 hours), 1912602.417248
v100=5.p100=10.k80=5,allox,5,4800,0.665,79821.563 seconds (22.17 hours), 3365276.329 seconds (934.80 hours), 2550136.556331
v100=5.p100=10.k80=5,allox,5,14400,0.195,61672.899 seconds (17.13 hours), 7204695.131 seconds (2001.30 hours), 7650409.668993
v100=5.p100=10.k80=5,allox,5,7200,0.399,65774.162 seconds (18.27 hours), 3842945.434 seconds (1067.48 hours), 3825204.834496
v100=5.p100=10.k80=5,allox,9,3600,0.851,62242.815 seconds (17.29 hours), 2980457.651 seconds (827.90 hours), 1770762.392285
v100=5.p100=10.k80=5,allox,9,4800,0.600,55183.261 seconds (15.33 hours), 3102617.105 seconds (861.84 hours), 2361016.523046
v100=5.p100=10.k80=5,allox,9,14400,0.195,54979.176 seconds (15.27 hours), 7676391.926 seconds (2132.33 hours), 7083049.569139
v100=5.p100=10.k80=5,allox,9,7200,0.380,52379.546 seconds (14.55 hours), 4221702.650 seconds (1172.70 hours), 3541524.784570
v100=5.p100=10.k80=5,allox,8,3600,0.955,133082.439 seconds (36.97 hours), 5082600.695 seconds (1411.83 hours), 1879475.630340
v100=5.p100=10.k80=5,allox,8,4800,0.701,90955.155 seconds (25.27 hours), 3072867.871 seconds (853.57 hours), 2505967.507121
v100=5.p100=10.k80=5,allox,8,14400,0.215,66887.199 seconds (18.58 hours), 7694163.609 seconds (2137.27 hours), 7517902.521362
v100=5.p100=10.k80=5,allox,8,7200,0.430,69626.724 seconds (19.34 hours), 4103465.351 seconds (1139.85 hours), 3758951.260681
v100=5.p100=10.k80=5,shared_cloud_cost_fairness,5,3600,0.896,113669.302 seconds (31.57 hours), 2744662.506 seconds (762.41 hours), 1912602.417248
v100=5.p100=10.k80=5,shared_cloud_cost_fairness,5,4800,0.723,86444.128 seconds (24.01 hours), 2917105.336 seconds (810.31 hours), 2550136.556331
v100=5.p100=10.k80=5,shared_cloud_cost_fairness,5,14400,0.263,83739.957 seconds (23.26 hours), 7439935.022 seconds (2066.65 hours), 7650409.668993
v100=5.p100=10.k80=5,shared_cloud_cost_fairness,5,7200,0.501,80788.158 seconds (22.44 hours), 3963584.256 seconds (1101.00 hours), 3825204.834496
v100=5.p100=10.k80=5,shared_cloud_cost_fairness,9,3600,0.870,73002.319 seconds (20.28 hours), 2673386.070 seconds (742.61 hours), 1770762.392285
v100=5.p100=10.k80=5,shared_cloud_cost_fairness,9,4800,0.691,67976.096 seconds (18.88 hours), 3063382.788 seconds (850.94 hours), 2361016.523046
v100=5.p100=10.k80=5,shared_cloud_cost_fairness,9,14400,0.254,70926.588 seconds (19.70 hours), 7912743.209 seconds (2197.98 hours), 7083049.569139
v100=5.p100=10.k80=5,shared_cloud_cost_fairness,9,7200,0.486,68202.203 seconds (18.95 hours), 4250141.145 seconds (1180.59 hours), 3541524.784570
v100=5.p100=10.k80=5,shared_cloud_cost_fairness,8,3600,0.945,146747.123 seconds (40.76 hours), 3327866.213 seconds (924.41 hours), 1879475.630340
v100=5.p100=10.k80=5,shared_cloud_cost_fairness,8,4800,0.767,95652.411 seconds (26.57 hours), 3022110.505 seconds (839.48 hours), 2505967.507121
v100=5.p100=10.k80=5,shared_cloud_cost_fairness,8,14400,0.283,90963.774 seconds (25.27 hours), 7891228.468 seconds (2192.01 hours), 7517902.521362
v100=5.p100=10.k80=5,shared_cloud_cost_fairness,8,7200,0.533,87694.125 seconds (24.36 hours), 4259717.216 seconds (1183.25 hours), 3758951.260681
v100=5.p100=10.k80=5,max_min_fairness,5,3600,0.934,229615.376 seconds (63.78 hours), 4694376.131 seconds (1303.99 hours), 1912602.417248
v100=5.p100=10.k80=5,max_min_fairness,5,4800,0.762,93379.521 seconds (25.94 hours), 3045978.822 seconds (846.11 hours), 2550136.556331
v100=5.p100=10.k80=5,max_min_fairness,5,14400,0.266,84775.551 seconds (23.55 hours), 7455779.660 seconds (2071.05 hours), 7650409.668993
v100=5.p100=10.k80=5,max_min_fairness,5,7200,0.519,83938.074 seconds (23.32 hours), 4035587.261 seconds (1121.00 hours), 3825204.834496
v100=5.p100=10.k80=5,max_min_fairness,9,3600,0.940,82605.346 seconds (22.95 hours), 3043800.643 seconds (845.50 hours), 1770762.392285
v100=5.p100=10.k80=5,max_min_fairness,9,4800,0.725,71266.579 seconds (19.80 hours), 3233650.826 seconds (898.24 hours), 2361016.523046
v100=5.p100=10.k80=5,max_min_fairness,9,14400,0.257,71792.928 seconds (19.94 hours), 7902244.483 seconds (2195.07 hours), 7083049.569139
v100=5.p100=10.k80=5,max_min_fairness,9,7200,0.499,70181.078 seconds (19.49 hours), 4311334.206 seconds (1197.59 hours), 3541524.784570
